percent,teams
0.0001,"(4728, 2847, 59, 5809, 4646, 167, 1108, 10439)"
0.0001,"(2847, 4646, 1108, 5809, 59, 4728, 167, 6419)"
0.0001,"(2847, 59, 4646, 1108, 5809, 10439, 4728, 6419)"
0.0001,"(4646, 59, 2847, 4728, 167, 3267, 1108, 5809)"
0.0001,"(4646, 59, 5809, 2847, 1108, 6419, 4728, 2654)"
0.0001,"(4646, 2847, 59, 4728, 1108, 167, 5809, 6419)"
0.0001,"(2847, 4646, 4728, 59, 5809, 1108, 167, 6147)"
0.0001,"(4646, 2847, 59, 5809, 6419, 4728, 167, 7257)"
0.0001,"(4646, 59, 2847, 5809, 10439, 4728, 7257, 167)"
0.0001,"(4646, 59, 2847, 4728, 5809, 2654, 7257, 1108)"
0.0001,"(2847, 4728, 59, 4646, 167, 6147, 5809, 1108)"
0.0001,"(2847, 59, 4646, 167, 1108, 5809, 6419, 4728)"
0.0001,"(2847, 4646, 59, 5809, 167, 4728, 7257, 2654)"
0.0001,"(4646, 59, 5809, 4728, 2847, 167, 1108, 7257)"
0.0001,"(2847, 59, 4728, 5809, 167, 10439, 1108, 6419)"
0.0001,"(4728, 2847, 59, 4646, 167, 1108, 5809, 6419)"
0.0001,"(4728, 4646, 59, 2847, 5809, 2654, 167, 1108)"
0.0001,"(4646, 59, 167, 2847, 5809, 4728, 7257, 1108)"
0.0001,"(4728, 2847, 4646, 59, 5809, 2654, 167, 6147)"
0.0001,"(2847, 59, 5809, 4646, 4728, 167, 10439, 7257)"
0.0001,"(4728, 59, 2847, 4646, 5809, 167, 2654, 10439)"
0.0001,"(2847, 59, 1108, 4646, 5809, 6419, 2654, 167)"
0.0001,"(4646, 59, 5809, 4728, 167, 2847, 7257, 1108)"
0.0001,"(4646, 59, 5809, 2847, 1108, 4728, 2654, 167)"
0.0001,"(4646, 59, 4728, 2847, 7257, 167, 5809, 2654)"
0.0001,"(2847, 4728, 59, 4646, 1108, 167, 2654, 5809)"
0.0001,"(2847, 59, 5809, 4646, 10439, 4728, 1108, 167)"
0.0001,"(2847, 59, 4646, 4728, 1108, 10439, 7257, 2654)"
0.0001,"(4646, 59, 2847, 4728, 1108, 167, 6419, 2654)"
0.0001,"(2847, 4646, 59, 1108, 5809, 4728, 6419, 2654)"
0.0001,"(4646, 2847, 59, 167, 4728, 1108, 6419, 6147)"
0.0001,"(4728, 59, 2847, 4646, 5809, 10439, 2654, 1108)"
0.0001,"(4646, 2847, 59, 5809, 6419, 2654, 10439, 4728)"
0.0001,"(2847, 59, 4646, 5809, 1108, 10439, 167, 6419)"
0.0001,"(2847, 59, 4728, 167, 4646, 5809, 1108, 6147)"
0.0001,"(4646, 2847, 59, 4728, 5809, 167, 7257, 3928)"
0.0001,"(4646, 2847, 59, 4728, 167, 1108, 6147, 7257)"
0.0001,"(4728, 59, 167, 5809, 2847, 10439, 4646, 1108)"
0.0001,"(2847, 1108, 5809, 4728, 4646, 167, 6147, 59)"
0.0001,"(4646, 4728, 2847, 5809, 59, 6147, 1108, 167)"
0.0001,"(2847, 59, 4728, 1108, 4646, 5809, 167, 2654)"
0.0001,"(4646, 2847, 59, 4728, 7257, 6419, 2654, 3267)"
0.0001,"(4646, 2847, 59, 167, 6419, 4728, 2654, 1108)"
0.0001,"(2847, 59, 4646, 167, 4728, 5809, 7257, 10439)"
0.0001,"(2847, 59, 4646, 10439, 167, 6419, 4728, 7257)"
0.0001,"(4646, 59, 2847, 3267, 167, 6419, 4728, 7257)"
0.0001,"(2847, 59, 4728, 5809, 1108, 10439, 4646, 6419)"
0.0001,"(2847, 4728, 59, 1108, 10439, 4646, 5809, 2654)"
0.0001,"(2847, 4728, 59, 5809, 167, 4646, 6147, 10439)"
0.0001,"(4728, 2847, 4646, 59, 5809, 167, 2654, 10439)"
0.0001,"(2847, 4646, 59, 4728, 2654, 167, 5809, 7257)"
0.0001,"(2847, 59, 4728, 4646, 10439, 1108, 7257, 2654)"
0.0001,"(4728, 2847, 59, 5809, 4646, 167, 2654, 10439)"
0.0001,"(4646, 2847, 5809, 4728, 59, 6147, 2654, 167)"
0.0001,"(4646, 59, 2847, 4728, 7257, 167, 5809, 2654)"
0.0001,"(2847, 4646, 59, 4728, 167, 7257, 2654, 1108)"
0.0001,"(59, 4646, 2847, 167, 4728, 5809, 1108, 10439)"
0.0001,"(2847, 4646, 59, 4728, 10439, 7257, 167, 5809)"
0.0001,"(2847, 59, 4646, 4728, 10439, 5809, 7257, 2654)"
0.0001,"(2847, 59, 5809, 4646, 1108, 4728, 167, 6419)"
0.0001,"(2847, 59, 4646, 167, 5809, 7257, 10439, 1108)"
0.0001,"(2847, 59, 167, 5809, 4728, 4646, 10439, 1108)"
0.0001,"(4646, 2847, 59, 5809, 7257, 6419, 4728, 167)"
0.0001,"(2847, 59, 5809, 4728, 4646, 1108, 167, 6147)"
0.0001,"(4728, 2847, 59, 4646, 167, 1108, 5809, 2654)"
0.0001,"(4728, 2847, 167, 4646, 5809, 59, 6147, 3928)"
0.0001,"(4728, 2847, 59, 5809, 4646, 167, 10439, 7257)"
0.0001,"(4646, 2847, 59, 5809, 7257, 167, 4728, 6147)"
0.0001,"(4646, 59, 4728, 2847, 5809, 1108, 2654, 6147)"
0.0001,"(4646, 59, 5809, 2847, 167, 4728, 7257, 2654)"
0.0001,"(4646, 2847, 167, 59, 4728, 7257, 5809, 3928)"
0.0001,"(4646, 2847, 59, 4728, 10439, 7257, 5809, 2654)"
0.0001,"(4646, 2847, 5809, 6147, 59, 4728, 6419, 2654)"
0.0001,"(2847, 4646, 59, 167, 4728, 5809, 6419, 7257)"
0.0001,"(4728, 59, 167, 5809, 2847, 10439, 1108, 4646)"
0.0001,"(2847, 59, 4728, 167, 5809, 1108, 10439, 6419)"
0.0001,"(4646, 59, 2847, 3267, 4728, 167, 5809, 6419)"
0.0001,"(4646, 2847, 59, 5809, 167, 4728, 1108, 7257)"
0.0001,"(2847, 4728, 59, 5809, 4646, 167, 2654, 10439)"
0.0001,"(4646, 2847, 59, 4728, 6419, 2654, 1108, 167)"
0.0001,"(4646, 2847, 4728, 59, 1108, 6147, 167, 5809)"
0.0001,"(2847, 4646, 59, 5809, 4728, 10439, 2654, 7257)"
0.0001,"(2847, 4646, 59, 167, 5809, 4728, 6419, 1108)"
0.0001,"(2847, 59, 4646, 5809, 4728, 7257, 6419, 2654)"
0.0001,"(4646, 2847, 59, 4728, 167, 7257, 1108, 5809)"
0.0001,"(4646, 2847, 59, 4728, 5809, 7257, 2654, 10439)"
0.0001,"(4646, 2847, 59, 167, 4728, 6419, 7257, 3267)"
0.0001,"(4646, 2847, 4728, 167, 5809, 6147, 59, 6419)"
0.0001,"(2847, 59, 1108, 167, 4646, 5809, 4728, 6419)"
0.0001,"(59, 2847, 5809, 4728, 4646, 2654, 10439, 7257)"
0.0001,"(4728, 2847, 59, 167, 5809, 1108, 4646, 6147)"
0.0001,"(4728, 2847, 59, 4646, 5809, 2654, 167, 3267)"
0.0001,"(4646, 59, 2847, 10439, 7257, 2654, 5809, 6419)"
0.0001,"(2847, 59, 4646, 5809, 4728, 167, 6419, 6147)"
0.0001,"(59, 4646, 4728, 2847, 1108, 5809, 2654, 167)"
0.0001,"(2847, 4646, 59, 4728, 7257, 5809, 2654, 167)"
0.0001,"(2847, 59, 4728, 4646, 5809, 2654, 6419, 167)"
0.0001,"(4728, 59, 2847, 4646, 2654, 3267, 167, 5809)"
0.0001,"(2847, 59, 167, 4646, 1108, 5809, 4728, 6147)"
0.0001,"(2847, 4646, 59, 5809, 6419, 4728, 7257, 167)"
0.0001,"(4646, 5809, 2847, 59, 4728, 167, 6419, 7257)"
0.0001,"(2847, 59, 1108, 4728, 5809, 6419, 4646, 2654)"
0.0001,"(4728, 59, 2847, 167, 4646, 5809, 6147, 3928)"
0.0001,"(2847, 4646, 4728, 59, 5809, 6147, 167, 2654)"
0.0001,"(2847, 59, 4646, 5809, 4728, 10439, 7257, 2654)"
0.0001,"(4728, 59, 2847, 4646, 167, 5809, 1108, 3267)"
0.0001,"(2847, 4646, 59, 167, 4728, 7257, 5809, 6419)"
0.0001,"(4728, 59, 2847, 5809, 4646, 167, 2654, 1108)"
0.0001,"(4646, 2847, 59, 5809, 167, 7257, 4728, 6147)"
0.0001,"(4728, 59, 4646, 2847, 167, 5809, 6147, 10439)"
0.0001,"(2847, 59, 1108, 4646, 167, 4728, 967, 5809)"
0.0001,"(2847, 59, 4646, 5809, 1108, 4728, 167, 2654)"
0.0001,"(4646, 59, 2847, 3267, 4728, 7257, 167, 6419)"
0.0001,"(4646, 59, 2847, 167, 1108, 4728, 3267, 6419)"
0.0001,"(2847, 59, 4646, 5809, 167, 4728, 6419, 10439)"
0.0001,"(2847, 4646, 59, 4728, 5809, 2654, 167, 6147)"
0.0001,"(59, 4646, 2847, 4728, 1108, 167, 3267, 5809)"
0.0001,"(2847, 59, 4728, 4646, 5809, 167, 3928, 2654)"
0.0001,"(2847, 59, 4646, 4728, 5809, 1108, 2654, 167)"
0.0001,"(4646, 2847, 59, 167, 7257, 6419, 4728, 3267)"
0.0001,"(2847, 59, 4646, 4728, 167, 6419, 2654, 5809)"
0.0001,"(2847, 59, 4646, 5809, 4728, 10439, 6419, 167)"
0.0001,"(4646, 59, 2847, 5809, 167, 4728, 6419, 7257)"
0.0001,"(4646, 59, 2847, 4728, 5809, 167, 1108, 2654)"
0.0001,"(4646, 59, 2847, 5809, 7257, 2654, 6419, 4728)"
0.0001,"(4646, 2847, 59, 5809, 4728, 2654, 1108, 10439)"
0.0001,"(4646, 4728, 2847, 167, 5809, 59, 1108, 6147)"
0.0001,"(4646, 59, 4728, 5809, 2847, 167, 6419, 2654)"
0.0001,"(2847, 59, 4646, 5809, 1108, 2654, 167, 6419)"
0.0001,"(4646, 59, 2847, 4728, 5809, 167, 2654, 1108)"
0.0001,"(4728, 2847, 59, 4646, 167, 2654, 5809, 1108)"
0.0001,"(2847, 4728, 59, 4646, 1108, 2654, 5809, 167)"
0.0001,"(4646, 2847, 59, 167, 4728, 7257, 6419, 6147)"
0.0001,"(4646, 2847, 59, 5809, 6419, 4728, 167, 2654)"
0.0001,"(2847, 59, 4646, 10439, 5809, 4728, 7257, 6419)"
0.0001,"(4646, 2847, 59, 7257, 10439, 4728, 6419, 2654)"
0.0001,"(4646, 2847, 59, 5809, 4728, 7257, 10439, 167)"
0.0001,"(4646, 59, 167, 5809, 2847, 4728, 1108, 6147)"
0.0001,"(59, 4728, 4646, 5809, 2847, 10439, 167, 7257)"
0.0001,"(2847, 59, 5809, 4646, 167, 10439, 4728, 1108)"
0.0001,"(4646, 2847, 59, 5809, 167, 4728, 2654, 1108)"
0.0001,"(2847, 59, 10439, 4646, 5809, 1108, 7257, 6419)"
0.0001,"(2847, 4646, 59, 4728, 7257, 167, 2654, 5809)"
0.0001,"(4646, 59, 2847, 4728, 5809, 167, 1108, 7257)"
0.0001,"(4646, 59, 2847, 5809, 1108, 6419, 167, 4728)"
0.0001,"(4646, 2847, 59, 167, 4728, 1108, 6147, 5809)"
0.0001,"(4646, 59, 5809, 4728, 2847, 167, 7257, 1108)"
0.0001,"(4646, 2847, 59, 4728, 5809, 167, 2654, 6147)"
0.0001,"(4728, 59, 4646, 167, 5809, 2847, 1108, 3267)"
0.0001,"(4646, 59, 2847, 4728, 3267, 7257, 167, 5809)"
0.0001,"(4646, 59, 2847, 5809, 6419, 2654, 1108, 167)"
0.0001,"(2847, 4728, 59, 4646, 167, 2654, 5809, 1108)"
0.0001,"(2847, 59, 4728, 4646, 1108, 2654, 167, 10439)"
0.0001,"(4646, 2847, 59, 4728, 5809, 167, 1108, 6419)"
0.0001,"(2847, 4646, 59, 4728, 1108, 167, 5809, 6147)"
0.0001,"(59, 2847, 1108, 4646, 4728, 5809, 2654, 167)"
0.0001,"(4646, 59, 167, 2847, 4728, 5809, 7257, 1108)"
0.0001,"(4728, 59, 4646, 2847, 5809, 2654, 167, 3928)"
0.0001,"(2847, 4646, 59, 4728, 5809, 167, 10439, 1108)"
0.0001,"(4646, 59, 2847, 4728, 1108, 3267, 2654, 167)"
0.0001,"(4728, 59, 5809, 4646, 2847, 167, 2654, 6147)"
0.0001,"(2847, 59, 4728, 5809, 10439, 4646, 6419, 2654)"
0.0001,"(4646, 2847, 59, 167, 1108, 6419, 4728, 2654)"
0.0001,"(4646, 2847, 59, 5809, 167, 7257, 4728, 6419)"
0.0001,"(2847, 59, 167, 4728, 5809, 10439, 4646, 1108)"
0.0001,"(4728, 59, 4646, 2847, 3267, 2654, 167, 5809)"
0.0001,"(2847, 4646, 59, 167, 6147, 10439, 4728, 1108)"
0.0001,"(2847, 59, 1108, 5809, 4728, 4646, 2654, 6419)"
0.0001,"(4728, 59, 4646, 2847, 5809, 167, 1108, 2654)"
0.0001,"(4646, 2847, 59, 167, 4728, 7257, 5809, 10439)"
0.0001,"(4728, 2847, 59, 4646, 2654, 167, 5809, 10439)"
0.0001,"(4646, 2847, 4728, 5809, 6147, 59, 167, 3928)"
0.0001,"(4728, 59, 2847, 167, 4646, 5809, 1108, 6147)"
0.0001,"(4646, 2847, 59, 6419, 7257, 2654, 167, 5809)"
0.0001,"(4728, 2847, 59, 5809, 4646, 10439, 2654, 6147)"
0.0001,"(2847, 59, 5809, 4646, 1108, 10439, 4728, 167)"
0.0001,"(4728, 2847, 59, 167, 4646, 5809, 1108, 3928)"
0.0001,"(2847, 4646, 59, 5809, 1108, 4728, 6419, 167)"
0.0001,"(2847, 59, 4646, 4728, 1108, 5809, 167, 6147)"
0.0001,"(4646, 59, 5809, 4728, 167, 2847, 7257, 6147)"
0.0001,"(2847, 59, 4646, 5809, 167, 1108, 10439, 6419)"
0.0001,"(4646, 2847, 59, 5809, 4728, 6419, 1108, 167)"
0.0001,"(4728, 2847, 59, 5809, 2654, 1108, 167, 10439)"
0.0001,"(4646, 2847, 59, 5809, 167, 4728, 6419, 1108)"
0.0001,"(2847, 59, 167, 4728, 5809, 4646, 10439, 7257)"
0.0001,"(4646, 59, 4728, 5809, 2847, 2654, 7257, 167)"
0.0001,"(4646, 167, 4728, 2847, 5809, 59, 1108, 6147)"
0.0001,"(2847, 59, 4728, 1108, 5809, 4646, 167, 2654)"
0.0001,"(2847, 59, 4646, 5809, 1108, 167, 10439, 4728)"
0.0001,"(2847, 4646, 167, 59, 1108, 6147, 4728, 5809)"
0.0001,"(4646, 2847, 59, 7257, 4728, 167, 6419, 2654)"
0.0001,"(4646, 2847, 59, 5809, 4728, 10439, 6419, 7257)"
0.0001,"(2847, 59, 4646, 4728, 167, 6419, 3267, 5809)"
0.0001,"(4728, 2847, 59, 4646, 167, 5809, 1108, 2654)"
0.0001,"(4646, 2847, 59, 10439, 4728, 7257, 6419, 167)"
0.0001,"(4646, 2847, 167, 4728, 59, 6147, 3267, 5809)"
0.0001,"(4646, 2847, 59, 6419, 4728, 2654, 7257, 5809)"
0.0001,"(4646, 59, 2847, 4728, 7257, 167, 2654, 6147)"
0.0001,"(4646, 59, 1108, 5809, 4728, 2847, 167, 10439)"
0.0001,"(2847, 59, 4646, 5809, 10439, 4728, 1108, 6419)"
0.0001,"(2847, 59, 4728, 5809, 4646, 10439, 7257, 2654)"
0.0001,"(59, 1108, 2847, 4728, 4646, 5809, 2654, 167)"
0.0001,"(2847, 59, 5809, 4728, 4646, 167, 6419, 6147)"
0.0001,"(2847, 59, 4646, 1108, 10439, 6419, 4728, 7257)"
0.0001,"(4646, 2847, 59, 1108, 5809, 6419, 4728, 2654)"
0.0001,"(4646, 2847, 4728, 167, 5809, 6147, 59, 1108)"
0.0001,"(4728, 2847, 59, 1108, 5809, 4646, 167, 2654)"
